Resource,Details,CompositionSum,Deviation
,,0.0,100.0
,,0.0,100.0
MicroAlgae,Enteromorpha prolifera,30.100000000000005,69.89999999999999
MicroAlgae,Enteromorpha prolifera,30.100000000000005,69.89999999999999
MicroAlgae,Enteromorpha prolifera,30.100000000000005,69.89999999999999
MicroAlgae,Enteromorpha prolifera,30.100000000000005,69.89999999999999
Wood,Oil-palm shell,150.95999999999998,50.95999999999998
Wood,Rice husk,148.98000000000002,48.98000000000002
Sewage,Sewage Sludge,138.2,38.19999999999999
Sewage,Sewage Sludge,138.2,38.19999999999999
Sewage,Sewage Sludge,138.2,38.19999999999999
Sewage,Sewage Sludge,138.2,38.19999999999999
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
MicroAlgae,Galdieria sulphuraria,62.66690391459074,37.33309608540926
Sewage,Sewage Sludge,137.2,37.19999999999999
Sewage,Sewage Sludge,137.2,37.19999999999999
Sewage,Sewage Sludge,137.2,37.19999999999999
Sewage,Sewage Sludge,137.2,37.19999999999999
Sewage,Sewage Sludge,137.2,37.19999999999999
Sewage,Sewage Sludge,137.2,37.19999999999999
Sewage,Sewage Sludge,137.2,37.19999999999999
MicroAlgae,Chlorella sorokiniana,62.910000000000004,37.089999999999996
MicroAlgae,Chlorella sorokiniana,63.49999999999999,36.50000000000001
MicroAlgae,Chlorella sorokiniana,63.49999999999999,36.50000000000001
Wood,Rice straw,136.36,36.360000000000014
MicroAlgae,Nannochloropsis sp.,64.39999999999999,35.60000000000001
MicroAlgae,Nannochloropsis sp.,64.39999999999999,35.60000000000001
MicroAlgae,Nannochloropsis sp.,64.39999999999999,35.60000000000001
MicroAlgae,Nannochloropsis sp.,64.39999999999999,35.60000000000001
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
Herb,Hemp stems,66.875,33.125
MicroAlgae,Euglena sp.,66.89999999999999,33.10000000000001
MicroAlgae,Euglena sp.,66.89999999999999,33.10000000000001
MicroAlgae,Euglena sp.,66.89999999999999,33.10000000000001
MicroAlgae,Euglena sp.,66.89999999999999,33.10000000000001
MicroAlgae,Chlorella sp.,68.4,31.599999999999994
MicroAlgae,Chlorella sp.,68.4,31.599999999999994
MicroAlgae,Chlorella sp.,68.4,31.599999999999994
MicroAlgae,Chlorella sp.,68.4,31.599999999999994
MicroAlgae,Galdieria sulphuraria,69.54855072463768,30.45144927536232
MicroAlgae,Galdieria sulphuraria,69.54855072463768,30.45144927536232
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Chlorella vulgaris ,70.07,29.930000000000007
MicroAlgae,Cyanophyta sp.,70.70000000000002,29.299999999999983
MicroAlgae,Cyanophyta sp.,70.70000000000002,29.299999999999983
MicroAlgae,Cyanophyta sp.,70.70000000000002,29.299999999999983
MicroAlgae,Cyanophyta sp.,70.70000000000002,29.299999999999983
MicroAlgae,Spirulina sp.,73.39,26.61
MicroAlgae,Spirulina sp.,73.39,26.61
MicroAlgae,Spirulina sp.,73.39,26.61
MicroAlgae,Spirulina sp.,73.39,26.61
MicroAlgae,Spirulina sp.,73.39,26.61
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MicroAlgae,Kirchneriella sp.,73.42,26.58
MacroAlgae,Sargassum tenerrimum,75.08,24.92
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella sorokiniana,75.41999999999999,24.580000000000013
MicroAlgae,Chlorella vulgaris ,75.9,24.099999999999994
MicroAlgae,Nannochloropsis sp.,123.4,23.400000000000006
MacroAlgae,Enteromorpha sp.,76.6,23.400000000000006
MicroAlgae,Nannochloropsis oculata,123.4,23.400000000000006
MicroAlgae,Nannochloropsis sp.,76.75,23.25
MicroAlgae,Nannochloropsis sp.,76.75,23.25
