Feature,Importance
num__Lipids,0.4054886374983663
num__Proteins,0.08315505168138265
num__FattyAcids,0.06237119904746129
num__Temperature,0.06192353985012749
num__HHVResource,0.05266254057144058
num__TotalTime,0.03810233569536762
num__Ash,0.032777921385515406
num__HeatingTime,0.025379102986465743
num__HoldingTime,0.018651469798430534
num__Polarity,0.016761080945109016
num__Guaiacol,0.016613083073967114
num__DryMatter,0.01613112233856143
cat__Details_Guaiacol,0.014552893513023591
num__HeatingRate,0.013717341924098054
num__CarboHydrates,0.010623498553111855
num__HemiCellulose,0.009922021360862157
cat__Details_Sunflower oil,0.008742084329063229
num__Cellulose,0.007977968445128965
num__Sugar,0.007521813901096837
num__AminoAcids,0.005774846765973306
"cat__Origin_2020RAFCS1, CEA-Cadarache",0.004851466330844083
num__AddQtty(g/L),0.0047872574711100594
cat__Solvent_TOLUENE,0.004706609668364917
cat__Details_Chlorella sorokiniana,0.004436340995894799
cat__Solvent_HEXANE,0.004355556370440186
num__Method,0.0037624184528866427
cat__Solvent_DCM,0.0036014082322400848
num__Lignin,0.0034977172150214134
cat__Resource_MicroAlgae,0.0028941353507555873
cat__Origin_FAGE USA Dairy Industry Inc. and Sunnyside dairy farm,0.0023510602588525616
cat__Details_Whey-Manure,0.002292289468454977
cat__Resource_FW,0.0021639222900508093
cat__Details_Nannochloropsis sp.,0.0019766596482808352
cat__Details_Linolic Acid,0.0017673251094043633
cat__Solvent_TCM,0.0016293687165296613
cat__Details_Ac Linolique,0.0014689130995949693
cat__Details_Mixture,0.0014482629531500986
cat__Additive_Na2CO3,0.0011516432260639522
cat__Details_LysineLatose,0.0011227314366282649
cat__Origin_ENN Science & Technology,0.0010246157003609535
cat__Additive_H2-NaOH,0.000993402224759081
cat__Origin_Acros Organics,0.0009828398148298094
cat__Origin_Ghent University,0.0008849733894411964
num__CarboxylicAcids,0.0008508723503316891
cat__Resource_Model,0.0008507849456787762
cat__Origin_Branches,0.0008102567294944424
cat__Solvent_EA,0.0007964829269805837
cat__Origin_ChampaignIll,0.0006841015250472482
cat__Origin_With Na2CO3,0.0006350503695989208
cat__Additive_K2CO3,0.0006191637866985895
"cat__Origin_Reed Mariculture, Inc.",0.0006117711020428675
cat__Additive_H2-ZnSO4,0.0005652866911756821
cat__Origin_Serana Europe,0.0005288641786112478
cat__Origin_PNNL,0.0005258548553620934
cat__Resource_Mixture,0.0005009274683842792
cat__HeatingProfile_Asymptote,0.00048094015939297534
cat__Details_Beef,0.0004800013509567947
cat__Origin_Chem-Supply,0.000469149302384829
cat__Details_MixedCurture Algae,0.00046161762617822016
"cat__Origin_James Cook University, Townsville",0.0004584741476768364
cat__Origin_Furniture,0.0004480893358799773
cat__Details_Bovine serum albumin,0.0004426452260950254
cat__Details_Sawdust,0.000418193249934497
cat__HeatingProfile_Linear,0.00041789719726150447
cat__Origin_University of Almería,0.0003966379433617375
cat__Origin_China,0.0003944895967248909
cat__Origin_Local health shop,0.00037767986377660505
cat__Additive_H2,0.0003582441948289826
cat__Details_Chlorella sp.,0.0003466847556260663
cat__Details_Scenedesmus sp.,0.0003296842215381744
cat__Origin_Ingrepro B.V,0.0003277042897564453
cat__Details_LysinePalmAcid,0.00032701827322053457
cat__Additive_Dolomite,0.0003228107010380343
cat__Origin_Sigma-Aldrich,0.00032005309579168474
num__Glycerol,0.00031564646610040214
cat__Origin_Latvijas finieris AS,0.00028933696687798654
cat__Origin_WWTP,0.0002887239398604164
cat__Details_Ulva ohnoi ,0.00028334871303512546
cat__Origin_Muradel Pty Ltd,0.00027790708467224245
cat__Details_Nannochloropsis /CastorOil7:3,0.00027755809761028207
cat__Solvent_ACETONE,0.00026487250874129235
cat__Details_Glucose,0.0002576510771504621
cat__Details_Tetraselmis sp.,0.0002514501815519839
cat__Origin_RAS,0.00024509023504707805
cat__Details_Cellulose,0.00024251519424158544
cat__Additive_Montmorillonite,0.00023892075094931117
cat__Origin_Alb-Castor,0.00022537331418492714
cat__Details_Cupressus funebis,0.00022228721906965713
cat__Origin_Fitness Laboratories,0.0002127161035979222
cat__Origin_National Center for Marine Algae and Microbiota,0.00021020768733342608
cat__Details_Soy Protein Isolate,0.0002094464840425481
cat__Resource_Wood,0.0002078779734399555
cat__Origin_FELCRA Nasaruddin Oil Palm Mill,0.00019979778783725915
cat__Details_Scenedesmus almeriensis,0.00018920087167162672
cat__Details_Spirulina sp.,0.00018229828327163088
cat__Additive_CoMo/ATP,0.00017953389916355387
cat__Origin_Aurospirul Spirulina farm  India,0.00017717238311069447
cat__Details_Nannochloropsis gaditana,0.0001731591020528975
cat__Details_Nannochloropsis oculata,0.00016853961847915702
cat__Origin_Health food store,0.00016163587702555706
cat__Resource_MacroAlgae,0.0001597491881080477
cat__Resource_Sewage,0.00015465478246394916
cat__Details_Soy Protein,0.00015351378516895053
cat__Additive_Cobalt,0.00014988558926357312
cat__Details_FW2,0.00014599758745818868
cat__Origin_Soy-Sunf,0.0001451313900754242
cat__Origin_ENN Science & Technology Co.,0.00014194850975770968
cat__Additive_H2-Ni,0.00013656400597727942
cat__Additive_H2-Na2CO3,0.00013052196280895198
cat__Origin_Corn-Soy,0.0001292322251420544
cat__Details_PalmaticAcid,0.00012852353604692754
cat__Details_Nannochloropsis salina,0.00012772051066251453
cat__Details_Asparagine,0.00012650491165056444
cat__Resource_FPW,0.00012462407481029621
cat__Origin_CEA-H1,0.00012432937622617243
cat__Details_Kirchneriella sp.,0.00012141456285974154
cat__Origin_Alga Energy SA,0.00012029840335516854
cat__Details_FFOM,0.00012025026735042441
"cat__Origin_2021RAFCS2, CEA-Cadarache",0.00011975286611185163
cat__Details_Chlorella pyrenoidosa,0.00011955940100235041
"cat__Origin_Shandong Binzhou Tianjian Biotechnology Co., Ltd.",0.00011508412897542269
cat__Details_Chicken,0.0001138341281712291
cat__Origin_Wudi Lvqi Bioengineering Co,0.00011355554418976468
cat__Details_Spent Coffee Grains,0.00011337867338466205
cat__Origin_Reed Mariculture Inc.,0.00011174099985412709
cat__Details_Nannochloropsis /Protein5:5,0.00011037514277500902
cat__Details_Castor oil,0.00010958003424026682
cat__Details_Sawdust Birch,0.00010682339192271048
cat__Additive_Kaoline,0.00010514994496959401
cat__Origin_Leaves,0.0001019230515256583
cat__Details_Spirulina platensis,0.00010036981028407195
cat__Details_Palm kernel shells,0.00010034553221618318
cat__Details_Palm Kernel Shell,9.977258737890477e-05
cat__Details_Dunaliella tertiolecta,9.81978275715117e-05
"cat__Details_Cyanophyta consortium (Microcystis, Basketballalgae, Oscillatoria sp., Nostoc, seaweed)",9.101608255229171e-05
cat__Details_Platanus,9.080622644640663e-05
cat__Origin_Arizona State University,8.921524513809548e-05
